NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT03985631,Tai Chi Intervention by Telerehabilitation,https://clinicaltrials.gov/study/NCT03985631,COMPLETED,NO,Parkinson Disease,OTHER: Rehabilitation intervention,Université de Sherbrooke,,ALL,"ADULT, OLDER_ADULT",2,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2020-01-22,2020-06-06,"Université de Sherbrooke, Sherbrooke, Quebec, J1K 2R1, Canada|Research Centre on Aging, Sherbrooke, Canada"
NCT03823157,Tai Chi and eCB in Women,https://clinicaltrials.gov/study/NCT03823157,ACTIVE_NOT_RECRUITING,NO,Mind-body Exercise,BEHAVIORAL: Tai Chi,Texas Tech University Health Sciences Center,,FEMALE,"ADULT, OLDER_ADULT",18,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2019-08-01,2024-10-31,"Texas Tech University Health Sciences Center, Lubbock, Texas, 79430, United States"
NCT03678363,Tai Chi in Rheumatoid Arthritis (TaiChiRA),https://clinicaltrials.gov/study/NCT03678363,UNKNOWN,NO,Rheumatoid Arthritis,OTHER: Tai chi chuan,"University Hospital, Clermont-Ferrand",,ALL,"ADULT, OLDER_ADULT",30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: NONE|Primary Purpose: TREATMENT,2019-01-31,2020-06-30,"CHU de Clermont-Ferrand, Clermont-Ferrand, Auvergne, 63003, France"
NCT03807180,Effects of Tai Chi in Patients With Ankylosing Spondylitis Receiving Anti-tumor Necrosis Factor Alpha Therapy,https://clinicaltrials.gov/study/NCT03807180,COMPLETED,NO,"Spondylitis, Ankylosing",OTHER: Tai Chi (exercise),Pamukkale University,,ALL,"ADULT, OLDER_ADULT",36,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: OTHER,2019-01-25,2019-04-30,"Antalya Education and Research Hospital, Antalya, Konyaalti, 07070, Turkey"
NCT01857219,A Brain Imaging Study of Tai Chi on Fibromyalgia,https://clinicaltrials.gov/study/NCT01857219,UNKNOWN,NO,Fibromyalgia,BEHAVIORAL: Tai chi,Massachusetts General Hospital,,ALL,ADULT,60,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2013-01,2020-08,"Massachusetts General Hospital, Charlestown, Massachusetts, 02129, United States"
NCT05854680,To Investigate the Metabolomics in the Subjects With Long Term Tai Chi Chuan Practice,https://clinicaltrials.gov/study/NCT05854680,COMPLETED,NO,Tai Chi Chuan|Metabolomics,,Sheng-Teng Huang,,ALL,"ADULT, OLDER_ADULT",56,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2020-01-08,2021-12-10,"China Medical University Hospital, Taichung, North District, 404, Taiwan"
NCT01122706,Efficacy of Taiji Training as a Program for Stress Prevention,https://clinicaltrials.gov/study/NCT01122706,COMPLETED,NO,Primary Prevention|Stress|Tai ji|Adult,OTHER: Taiji training,University of Bern,Swiss Federal Institute of Technology,ALL,ADULT,70,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2010-07,2011-06,"University of Bern, Institute of Complementary Medicine KIKOM, Bern, 3010, Switzerland"
NCT06445413,Tai Chi as a Novel Strategy to Increase Physical Activity Among Adults Pursuing Metabolic and Bariatric Surgery,https://clinicaltrials.gov/study/NCT06445413,RECRUITING,NO,Obesity,OTHER: Tai Chi,Hartford Hospital,,ALL,"ADULT, OLDER_ADULT",24,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2024-01-22,2025-06-30,"Hartford Hospital, Hartford, Connecticut, 06102, United States"
NCT01263730,Tai Chi Training for Treating Depressed Chinese Americans,https://clinicaltrials.gov/study/NCT01263730,COMPLETED,NO,Major Depressive Disorder,BEHAVIORAL: Tai Chi,Massachusetts General Hospital,Centers for Disease Control and Prevention,ALL,"ADULT, OLDER_ADULT",38,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2008-02,2010-08,"South Cove, Boston, Massachusetts, United States"
NCT04696887,TechSAge Tele Tai Chi for People Aging With Mobility Disabilities,https://clinicaltrials.gov/study/NCT04696887,COMPLETED,NO,Aging|Disability Physical,BEHAVIORAL: Tele Tai Chi Intervention for Persons Aging with Long-Term Mobility Disabilities,Georgia Institute of Technology,"University of Illinois at Urbana-Champaign|University of Georgia|Tai Chi for Health Institute|National Institute on Disability, Independent Living, and Rehabilitation Research",ALL,"ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2021-02-22,2023-10-03,"Center for Inclusive Design and Innovation, Atlanta, Georgia, 30318, United States"
NCT01340365,"Tai Chi, Physiologic Complexity, and Healthy Aging",https://clinicaltrials.gov/study/NCT01340365,COMPLETED,NO,Healthy Aging,BEHAVIORAL: Tai Chi Exercise|BEHAVIORAL: Tai Chi,Harvard University Faculty of Medicine,Beth Israel Deaconess Medical Center|Brigham and Women's Hospital,ALL,"ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION,2011-03,2013-10,"Beth Israel Deaconess Medical Center, Brookline, Massachusetts, 02215, United States"
NCT01039012,Tai Chi for Osteopenic Women,https://clinicaltrials.gov/study/NCT01039012,UNKNOWN,NO,Osteopenia,OTHER: Tai Chi|OTHER: Standard Care,Harvard University Faculty of Medicine,,FEMALE,"ADULT, OLDER_ADULT",86,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2008-01,2010-06,"Spaulding Rehabilitation Hospital, Boston, Massachusetts, 02114, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, 02215, United States"
NCT01420640,Tai Chi and Aerobic Exercise for Fibromyalgia (FMEx),https://clinicaltrials.gov/study/NCT01420640,COMPLETED,NO,Fibromyalgia,"BEHAVIORAL: Lower frequency, shorter period of Tai Chi|BEHAVIORAL: Higher frequency, shorter period of Tai Chi|BEHAVIORAL: Shorter frequency, longer period of Tai Chi|BEHAVIORAL: Higher frequency, longer period of Tai Chi|BEHAVIORAL: Aerobic Exercise Training",Tufts Medical Center,National Center for Complementary and Integrative Health (NCCIH),ALL,"ADULT, OLDER_ADULT",224,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2012-01,2015-11,"Tufts Medical Center, Boston, Massachusetts, 02111, United States"
NCT04887363,The Comparisons of Effects of Core Stability Exercise and Tai Chi on Core Muscle Performances in Elderly,https://clinicaltrials.gov/study/NCT04887363,COMPLETED,NO,Tai Ji,BEHAVIORAL: Core exercise|BEHAVIORAL: Tai Chi exercise,Kaohsiung Medical University Chung-Ho Memorial Hospital,,ALL,"ADULT, OLDER_ADULT",71,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2013-06-03,2015-06-30,
NCT03705598,Tai Chi Intervention for Geriatric Pain Syndrome,https://clinicaltrials.gov/study/NCT03705598,NOT_YET_RECRUITING,NO,Chronic Pain|Falls,BEHAVIORAL: Light physical exercise|BEHAVIORAL: Tai Chi,"University of Massachusetts, Boston",Brigham and Women's Hospital|Beth Israel Deaconess Medical Center,ALL,OLDER_ADULT,266,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2025-04-01,2030-03-31,
NCT05699642,Online Tai Chi Plus Fitbit After ACS,https://clinicaltrials.gov/study/NCT05699642,RECRUITING,NO,Acute Coronary Syndrome|Physical Inactivity,BEHAVIORAL: Tai chi + wearable,Beth Israel Deaconess Medical Center,Lifespan,ALL,"ADULT, OLDER_ADULT",70,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: OTHER,2024-08-27,2025-11-30,"Beth Israel Deaconess Medical Center, Boston, Massachusetts, 02215, United States"
NCT02234557,Tai Chi Training for Children With ADHD,https://clinicaltrials.gov/study/NCT02234557,COMPLETED,NO,ADHD,BEHAVIORAL: Tai Chi,"Hugo W. Moser Research Institute at Kennedy Krieger, Inc.",,ALL,CHILD,59,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2014-07-17,2020-03-15,"LEAP Facility at Kennedy Krieger Institute, Baltimore, Maryland, 21211, United States"
NCT04070703,Tai Ji Quan and Cognitive Function in Older Adults With Mild Cognitive Impairment,https://clinicaltrials.gov/study/NCT04070703,ACTIVE_NOT_RECRUITING,NO,Mild Cognitive Impairment,BEHAVIORAL: The Go for Exercise & Healthy Aging Project,Oregon Research Institute,,ALL,OLDER_ADULT,332,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2019-10-15,2025-03-30,"Oregon Research Institute, Eugene, Oregon, 97403, United States"
NCT04046003,Tai Chi for Knee OA Pain Management: a Mechanistic Study,https://clinicaltrials.gov/study/NCT04046003,ACTIVE_NOT_RECRUITING,NO,Knee Osteoarthritis|Mind-body Exercise,BEHAVIORAL: Tai chi exercise,Texas Tech University Health Sciences Center,,FEMALE,"CHILD, ADULT, OLDER_ADULT",33,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-09-01,2024-08-31,"Texas Tech University Health Sciences Center, Lubbock, Texas, 79430, United States"
NCT01203657,UCLA Tai Chi in a Community Setting Study,https://clinicaltrials.gov/study/NCT01203657,COMPLETED,NO,Physical Activity|Fatigue,BEHAVIORAL: Tai Chi,"University of California, Los Angeles",,ALL,"ADULT, OLDER_ADULT",47,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2010-01,2011-01,"UCLA, Los Angeles, California, 90095, United States"
NCT05145036,The Effect of Tai Chi Exercise Among Elders With Sarcopenia,https://clinicaltrials.gov/study/NCT05145036,COMPLETED,NO,Sarcopenia in Elderly|Tai Chi,BEHAVIORAL: Tai-Chi|BEHAVIORAL: Comprehensive training,China Medical University Hospital,,ALL,"ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,2021-12-01,2022-09-28,"China Medical University Hospital, Taichung, Taiwan"
NCT01184924,Evaluation of the Arthritis Foundation Tai Chi Program,https://clinicaltrials.gov/study/NCT01184924,COMPLETED,NO,Arthritis,BEHAVIORAL: Evaluation of the Arthritis Foundation Tai Chi Program,"University of North Carolina, Chapel Hill",Arthritis Foundation,ALL,"ADULT, OLDER_ADULT",358,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2008-09,2011-08,
NCT01687023,A Wearable System to Monitor Tai Chi Practice,https://clinicaltrials.gov/study/NCT01687023,COMPLETED,NO,Healthy,,Spaulding Rehabilitation Hospital,National Institutes of Health (NIH),ALL,"ADULT, OLDER_ADULT",24,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2011-07,2016-05,"Spaulding Rehabilitation Hospital Boston, Boston, Massachusetts, 02129, United States"
NCT04609631,Tai Chi for Comorbid Depression in T2DM Patients,https://clinicaltrials.gov/study/NCT04609631,UNKNOWN,NO,Depression|T2DM,BEHAVIORAL: Tai Chi|BEHAVIORAL: CBT,Chengdu University of Traditional Chinese Medicine,University of Electronic Science and Technology of China,ALL,"ADULT, OLDER_ADULT",300,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2020-01-01,2021-12,"Heilongjiang University of Chinese Medicine, Harbin, Heilongjiang, 150040, China|Henan University of Chinese Medicine, Zhengzhou, Henan, 450046, China|Affiliated Hospital of Chengdu University of Traditional Chinese Medicine (Sichuan Provincial Hospital of Traditional Chinese Medicine), Chengdu, Sichuan, 610075, China"
NCT01311427,Simplified Tai Chi for Reducing Fibromyalgia Pain,https://clinicaltrials.gov/study/NCT01311427,COMPLETED,NO,Fibromyalgia,BEHAVIORAL: 8-form Yang-style Tai chi|BEHAVIORAL: Group education,Oregon Research Institute,,ALL,"ADULT, OLDER_ADULT",99,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2006-08,2008-07,"Oregon Research Institute, Eugene, Oregon, 97403, United States"
NCT02054377,Cystic Fibrosis- Children and Adults Tai Chi Study,https://clinicaltrials.gov/study/NCT02054377,COMPLETED,NO,Cystic Fibrosis,OTHER: Tai chi,London South Bank University,Royal Brompton & Harefield NHS Foundation Trust,ALL,"CHILD, ADULT, OLDER_ADULT",51,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2014-06,2016-11,"Royal Brompton Hospital, London, SW3 6NP, United Kingdom"
NCT03196037,Feasibility of an 8-week Tai Chi Chuan Intervention for Breast Cancer Survivors,https://clinicaltrials.gov/study/NCT03196037,COMPLETED,NO,"Cancer, Breast|Cognitive Impairment",BEHAVIORAL: Tai Chi,UNC Lineberger Comprehensive Cancer Center,North Carolina Translational and Clinical Sciences Institute,ALL,"ADULT, OLDER_ADULT",4,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2017-12-05,2018-12-07,"UNC Chapel Hill Program on Integrative Medicine, Chapel Hill, North Carolina, 27599-7200, United States"
NCT04132804,Effect of Tai Chi as Treatment for IBS-C,https://clinicaltrials.gov/study/NCT04132804,COMPLETED,YES,Irritable Bowel Syndrome With Constipation,BEHAVIORAL: Tai Chi,Massachusetts General Hospital,,ALL,"ADULT, OLDER_ADULT",31,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-07-21,2022-07-14,"Massachusetts General Hospital, Boston, Massachusetts, 02114, United States"
NCT01258985,Tai Chi and Physical Therapy for Knee Osteoarthritis,https://clinicaltrials.gov/study/NCT01258985,COMPLETED,YES,Knee Osteoarthritis,BEHAVIORAL: Tai Chi|BEHAVIORAL: Physical Therapy,Tufts Medical Center,National Center for Complementary and Integrative Health (NCCIH),ALL,"ADULT, OLDER_ADULT",204,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2011-03,2014-09,"Tufts Medical Center, Boston, Massachusetts, 02111, United States"
NCT03901677,Tai Chi Exercise on Balance and Awereeness,https://clinicaltrials.gov/study/NCT03901677,COMPLETED,NO,Young Adult,OTHER: Tai-chi training,Baskent University,,ALL,ADULT,42,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-01-08,2019-05-02,"Baskent University, Ankara, 06790, Turkey"
NCT01619631,Tai Chi Intervention for Chinese Americans With Depression,https://clinicaltrials.gov/study/NCT01619631,COMPLETED,NO,Depression,BEHAVIORAL: 12-week Tai Chi intervention|BEHAVIORAL: Education control group,Massachusetts General Hospital,National Center for Complementary and Integrative Health (NCCIH),ALL,"ADULT, OLDER_ADULT",94,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: TREATMENT,2012-02,2016-11,"South Cove Community Health Center, Boston, Massachusetts, 02111, United States|Massachusetts General Hospital Depression Clinical and Research Program, Boston, Massachusetts, 02114, United States"
NCT02407665,Tai Chi Intervention and Brain Imaging Study Among Fibromyalgia Patients and Healthy Controls,https://clinicaltrials.gov/study/NCT02407665,COMPLETED,NO,Fibromyalgia|Chronic Pain,BEHAVIORAL: Tai Chi,Tufts Medical Center,Massachusetts General Hospital,ALL,"ADULT, OLDER_ADULT",55,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2015-03,2015-12,"Tufts Medical Center, Boston, Massachusetts, 02111, United States"
NCT03252236,Tai Chi Training in Stroke Survivors,https://clinicaltrials.gov/study/NCT03252236,COMPLETED,NO,Stroke,BEHAVIORAL: Tai Chi|BEHAVIORAL: Conventional exercise,The Hong Kong Polytechnic University,,ALL,"ADULT, OLDER_ADULT",56,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2014-10-01,2016-12-31,"The Hong Kong Polytechnic University, Hong Kong, Hong Kong"
NCT02222051,Tai Chi for Chronic Non-specific Neck Pain,https://clinicaltrials.gov/study/NCT02222051,COMPLETED,NO,Neck Pain,BEHAVIORAL: Tai Chi|BEHAVIORAL: Neck exercises,Universität Duisburg-Essen,,ALL,"ADULT, OLDER_ADULT",114,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2014-08,2015-04,"Department of Internal and Integrative Medicine, Kliniken Essen-Mitte, Essen, NRW, 45276, Germany"
NCT02868840,Tai Chi for Stroke Rehabilitation on Balance and Cognition,https://clinicaltrials.gov/study/NCT02868840,COMPLETED,NO,Stroke,BEHAVIORAL: Tai Chi exercise|BEHAVIORAL: symptom management,Chungnam National University,"National Research Foundation, Singapore|Chungnam National University Hospital",ALL,"ADULT, OLDER_ADULT",50,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2016-01,2017-06-30,"Chungnam National University Hospital, Daejeon, 35015, Korea, Republic of"
NCT04106661,Tai Chi as Physical Activity for Women With Morbid Obesity,https://clinicaltrials.gov/study/NCT04106661,COMPLETED,YES,Morbid Obesity,OTHER: Tai Chi,Husson University,,FEMALE,"ADULT, OLDER_ADULT",17,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2016-09-02,2017-11-21,
NCT06243107,Promoting the Application of Tai Chi to Improve the Fatigue in Cancer Patients,https://clinicaltrials.gov/study/NCT06243107,COMPLETED,NO,Cancer,BEHAVIORAL: Tai-chi,Chang Gung Memorial Hospital,,ALL,"ADULT, OLDER_ADULT",68,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2019-05-01,2022-06-30,"Taoyuan Chang Gung Memorial Hospital, Taoyuan, No.123,Dinghu Rd.,Guishan Dist, 326, Taiwan"
NCT01039779,Tai Chi Exercise in Older People,https://clinicaltrials.gov/study/NCT01039779,COMPLETED,NO,Fallers Aged 60 Years and Older,BEHAVIORAL: Exercise,Taipei Medical University,"National Health Research Institutes, Taiwan",ALL,"ADULT, OLDER_ADULT",456,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: PREVENTION,2011-01,2014-06,"Taipei Medical University, Taipei, 110, Taiwan"
NCT02346136,Health Outcomes of Tai Chi in Subsidized Senior Housing,https://clinicaltrials.gov/study/NCT02346136,TERMINATED,YES,Aging,BEHAVIORAL: Tai Chi training|BEHAVIORAL: Educational Control,Hebrew SeniorLife,"Brigham and Women's Hospital|Brandeis University|Massachusetts General Hospital|University of Massachusetts, Boston",ALL,"ADULT, OLDER_ADULT",180,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE",2015-07,2018-01-26,"Hebrew Rehabilitation Center, Roslindale, Massachusetts, 02131, United States"
NCT06423638,Feasibility of Virtual Tai Chi Easy for Registered Nurses,https://clinicaltrials.gov/study/NCT06423638,RECRUITING,NO,Transition Shock|Nurses' Intention to Quit|Stress|Somatic Symptoms|Burnout|Trauma and Stressor Related Disorders,BEHAVIORAL: Virtual Tai Chi Easy,University of Arizona,,ALL,"ADULT, OLDER_ADULT",40,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2023-12-22,2024-07-15,"University of Arizona, Tucson, Arizona, 85721, United States"
