NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Completion Date,Locations
NCT05195307,The Effect of Music Therapy Applied to Pregnant Women on Anxiety and Stress,https://clinicaltrials.gov/study/NCT05195307,COMPLETED,NO,Music Therapy,OTHER: Music Group,Kutahya Health Sciences University,,FEMALE,"ADULT, OLDER_ADULT",120,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2020-08-31,"Kutahya Health Sciences University, Kütahya, 43100, Turkey"
NCT02434432,Music Therapy for Pain Management in the NICU Setting,https://clinicaltrials.gov/study/NCT02434432,COMPLETED,NO,Music Therapy,BEHAVIORAL: music therapy selected by mothers|BEHAVIORAL: Music therapy recorded lullaby,American University of Beirut Medical Center,,ALL,CHILD,40,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE",2015-03,"American University Medical Center (AUBMC), Beirut, Lebanon"
NCT05578781,Music-based Treatments and Pain: Underlying Mechanisms and the Beneficial Effects of Music-Based Treatments,https://clinicaltrials.gov/study/NCT05578781,COMPLETED,NO,Chronic Low-back Pain,BEHAVIORAL: Music Therapy|BEHAVIORAL: Music Medicine|BEHAVIORAL: Control group,University of Washington,National Center for Complementary and Integrative Health (NCCIH),ALL,"ADULT, OLDER_ADULT",103,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2024-11-14,"University of Washington, Seattle, Washington, 98195, United States"
NCT04337476,The Effects of Pacifier Activated Lullaby in VLBW Preterm Infants,https://clinicaltrials.gov/study/NCT04337476,COMPLETED,NO,Music Therapy,DEVICE: The effects of Pacifier Activated Lullaby in very low birth weigt preterm infants. An italian music therapy intervention,Ospedale di Circolo - Fondazione Macchi,,ALL,CHILD,40,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2021-12-01,"Ospedale F. Del Ponte, Varese, 21100, Italy"
NCT05603767,Effects of Receptive Music Therapy Combined With Virtual Reality on Prevalent Symptoms in Patients With Advanced Cancer,https://clinicaltrials.gov/study/NCT05603767,UNKNOWN,NO,Music Therapy,OTHER: RMT+ VR,"Austral University, Argentina",,ALL,"ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (CARE_PROVIDER)|Primary Purpose: TREATMENT,2023-10-11,"Agustina, Buenos Aires, 1846, Argentina"
NCT05426941,Feasibility and Acceptability of Music Therapy for Chronic Pain,https://clinicaltrials.gov/study/NCT05426941,UNKNOWN,NO,Chronic Pain,BEHAVIORAL: Music Imagery|BEHAVIORAL: Music Listening,Henry M. Jackson Foundation for the Advancement of Military Medicine,VA Office of Research and Development|Indiana Institute for Medical Research,ALL,"ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2023-09-30,"Roudebush VA Medical Center, Indianapolis, Indiana, 46202, United States"
NCT06320093,Training Social and Health Care prOfessionals in mUsic-based Therapeutic iNterventions to Support Older People With Dementia,https://clinicaltrials.gov/study/NCT06320093,COMPLETED,NO,Dementia|Older People,OTHER: SOUND Intervention,Istituto Nazionale di Ricovero e Cura per Anziani,European Union,ALL,OLDER_ADULT,45,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2024-02-20,"INRCA Hospital, Ancona, 60127, Italy|Sons do Estamine Associacao, Trofa, Portugal|Associatia Habilitas, Bucarest, Romania"
NCT02310438,Music Therapy for The Rehabilitation of Upper Limb With Stroke Patients,https://clinicaltrials.gov/study/NCT02310438,COMPLETED,NO,Hemiparesis,OTHER: Therapeutic Instrumental Music Performance,Anglia Ruskin University,,ALL,"ADULT, OLDER_ADULT",10,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2015-09,"Anglia Ruskin University, Cambridge, Cambridgeshire, CB1 1PT, United Kingdom"
NCT04153695,Flamenco Music Therapy in Pregnant,https://clinicaltrials.gov/study/NCT04153695,UNKNOWN,NO,Pregnancy|Music|Therapy,OTHER: Music Therapy,Telethusa Centre for Flamenco Research,,FEMALE,ADULT,50,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2020-01-25,"Alfonso Vargas-Macías, Cádiz, E-11004, Spain"
NCT05231512,The Effects of a Music Therapy Respiratory Protocol on Post-Covid-19 Respiratory Symptoms,https://clinicaltrials.gov/study/NCT05231512,COMPLETED,NO,Post Covid-19 Respiratory|Dyspnea|SARS-CoV 2,OTHER: Respiratory Music Therapy Protocol,Icahn School of Medicine at Mount Sinai,,ALL,"ADULT, OLDER_ADULT",33,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2023-03-13,"Louis Armstrong Dept. of Music & Medicine, Mount Sinai Union Square, New York, New York, 10003, United States|NYC Health & Hospitals - Elmhurst, New York, New York, 11373, United States"
NCT02236455,Effects of Complementary Therapies Delivered Via Mobile Technologies,https://clinicaltrials.gov/study/NCT02236455,COMPLETED,NO,Acute Pain|Anxiety|Self Efficacy,BEHAVIORAL: Audio Relaxation Technique|BEHAVIORAL: Medical Music Intervention|BEHAVIORAL: Nature Therapy without Music|BEHAVIORAL: Nature Therapy with Music,University of San Francisco,Fulbright,ALL,"ADULT, OLDER_ADULT",105,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,2012-12,"Landspítala, Reykjavik, 101, Iceland"
NCT06445010,Musical Playlist of the Grief Journey,https://clinicaltrials.gov/study/NCT06445010,ACTIVE_NOT_RECRUITING,NO,Music Therapy|Bereavement,OTHER: Creating Musical Playlist,Brown University,The Miriam Hospital,ALL,"ADULT, OLDER_ADULT",30,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2025-01,"HopeHealth, Providence, Rhode Island, 02904, United States"
NCT02223845,Randomised Controlled Trial of the Effect of Music on Women Undergoing Assisted Reproductive Technology Treatments.,https://clinicaltrials.gov/study/NCT02223845,COMPLETED,NO,Anxiety,OTHER: Music,University of Southampton,,FEMALE,ADULT,42,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2014-01,"Complete Fertility, Southampton, Hampshire, SO16 5YA, United Kingdom"
NCT04571255,Music Therapy and Pain Management in Burn Patients.,https://clinicaltrials.gov/study/NCT04571255,COMPLETED,NO,Burns|Pain,BEHAVIORAL: Music-Assisted Relaxation,Fundación Santa Fe de Bogota,"University of Los Andes, Columbia",ALL,"ADULT, OLDER_ADULT",82,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2024-12-31,"Fundación Santa Fe de Bogotá, Bogotá, Bogotá D.C., Colombia"
NCT05180266,Therapeutic Touch and Music in The Menopausal Period,https://clinicaltrials.gov/study/NCT05180266,UNKNOWN,NO,Menopause,OTHER: Therapeutic Touch|OTHER: Music Listening Group|OTHER: Control Group,Inonu University,,FEMALE,ADULT,108,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: SINGLE (CARE_PROVIDER)|Primary Purpose: SUPPORTIVE_CARE,2022-08-25,"Inonu University, Malatya, 44000, Turkey"
NCT04172662,Music Therapy as an Adjunct in CIED Lead Extraction Procedures,https://clinicaltrials.gov/study/NCT04172662,COMPLETED,NO,"C.Surgical Procedure|Stress|Pain, Procedural|Anxiety",BEHAVIORAL: Facilitated Music Listening,Oslo University Hospital,Norwegian Academy of Music,ALL,"ADULT, OLDER_ADULT",68,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2019-09-27,"Oslo University Hospital, Ullevål, Hjertemedisinsk avdeling, Oslo, Norway"
NCT05399927,Music as Intervention Nursing in Ambulances,https://clinicaltrials.gov/study/NCT05399927,COMPLETED,NO,Music Therapy|Cardiovascular Diseases|Critical Care|Emergencies,OTHER: Music Intervention,Universidad Miguel Hernandez de Elche,,ALL,"ADULT, OLDER_ADULT",41,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2016-10,
NCT06734897,Impact of Music Therapy on Speech Intelligibility in Noise in CI Patients,https://clinicaltrials.gov/study/NCT06734897,NOT_YET_RECRUITING,NO,Music Therapy After Cochlear Implantation,OTHER: music therapy after Cochlear Implantation|OTHER: no music therapy after Cochlear Implantation,Armina Kreuzer,,ALL,"ADULT, OLDER_ADULT",30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2026-12-31,
NCT04936048,Music for Autism (M4A),https://clinicaltrials.gov/study/NCT04936048,ACTIVE_NOT_RECRUITING,NO,Autism Spectrum Disorder|Autism,BEHAVIORAL: Music Therapy|BEHAVIORAL: Play therapy,NORCE Norwegian Research Centre AS,University of Bergen|University of Vienna,ALL,CHILD,68,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2024-11-30,"University of Vienna, Vienna, Austria|NORCE Norwegian Research Centre, Bergen, Norway"
NCT01870479,Music & Cancer - Live Music During Chemotherapy,https://clinicaltrials.gov/study/NCT01870479,COMPLETED,NO,Non Hodgkin´s Lymphomas|Hodgkin´s Lymphomas,OTHER: Live music|OTHER: Taped music,Margrethe Langer Bro,Danish Cancer Society|University of Aarhus,ALL,"ADULT, OLDER_ADULT",143,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2017-03,"Aarhus University Hospital, Aarhus, Central Denmark Region, 8000, Denmark|Hospital of Southwest Jutland, Esbjerg, Region Of Southwest Denmark, 6700, Denmark|Odense University Hospital, Odense, Region Of Southwest Denmark, 5000, Denmark|The Academy of Music and Dramatic Arts, Southern Denmark, Odense, Region Of Southwest Denmark, 5000, Denmark|Roskilde Sygehus, Roskilde, Region Zealand, 4000, Denmark|Rigshospitalet, Copenhagen, The Capital Region Of Denmark, 2100, Denmark|Herlev Hospital, Copenhagen, The Capital Region Of Denmark, 2730, Denmark"
NCT04702594,Music Therapy and Psycho-behavioral Disorders in the Elderly Population,https://clinicaltrials.gov/study/NCT04702594,UNKNOWN,NO,Behavioral Disorder|Music Therapy,BEHAVIORAL: Music therapy session via tools validated by MUSIC CARE,Hospices Civils de Lyon,,ALL,"ADULT, OLDER_ADULT",35,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2021-08-18,"Hôpital Pierre Garraud, Lyon, 69005, France"
NCT01669733,The Effects of Perioperative Music Therapy on Women Undergoing Breast Biopsy Surgery,https://clinicaltrials.gov/study/NCT01669733,COMPLETED,NO,Abnormal Breast Tissue,OTHER: Music|OTHER: Standard of Care,Case Comprehensive Cancer Center,,FEMALE,"ADULT, OLDER_ADULT",201,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2015-08,"Case Medical Center, University Hospitals Seidman Cancer Center, Case Comprehensive Cancer Center, Cleveland, Ohio, 44118, United States"
NCT05520268,Efficacy of Music Therapy and Digital Music Rehabilitation in Dementia,https://clinicaltrials.gov/study/NCT05520268,RECRUITING,NO,Dementia,BEHAVIORAL: Conventional music therapy (CMT)|BEHAVIORAL: Digital music rehabilitation (DMR),University of Helsinki,Helsinki University Central Hospital|City of Helsinki,ALL,"ADULT, OLDER_ADULT",192,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2025-12-31,"University of Helsinki / Faculty of Medicine / Department of Psychology, Helsinki, 00014, Finland"
NCT04955912,Music and Premenstrual Symptoms and Quality of Life,https://clinicaltrials.gov/study/NCT04955912,COMPLETED,NO,MUSIC THERAPY|Premenstrual Syndrome,OTHER: music medicine,Kırklareli University,,FEMALE,ADULT,89,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: SUPPORTIVE_CARE",2021-04-30,"Kırklareli University, Kırklareli, 3900, Turkey"
NCT06123013,Music Therapy in Patients Undergoing Pancreatic Surgery (MUSIC PUPS),https://clinicaltrials.gov/study/NCT06123013,RECRUITING,NO,Whipple Procedure|Distal Pancreatectomy|Acute Pain,BEHAVIORAL: Music Assisted Relation Intervention (MARI),University Hospitals Cleveland Medical Center,Emory University,ALL,"ADULT, OLDER_ADULT",30,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2024-12-31,"University Hospitals Cleveland Medical Center, Cleveland, Ohio, 44106, United States"
NCT03362944,Active and Passive Music Therapy Interventions,https://clinicaltrials.gov/study/NCT03362944,COMPLETED,YES,Autonomic Nervous System Imbalance|Hypothalamic Pituitary Adrenal Axis Suppression,BEHAVIORAL: Active Music Therapy|BEHAVIORAL: Passive Music Therapy,"University of North Carolina, Chapel Hill",North Carolina Translational and Clinical Sciences Institute,ALL,ADULT,16,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2017-12-18,"UNC Chapel Hill Medical School Wing C, Chapel Hill, North Carolina, 27599, United States"
NCT01040611,Effectiveness of Music Therapy,https://clinicaltrials.gov/study/NCT01040611,UNKNOWN,NO,Tuberculosis,BEHAVIORAL: Music therapy,Taipei Medical University WanFang Hospital,,ALL,"ADULT, OLDER_ADULT",66,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: SUPPORTIVE_CARE,2010-09,"Taipei Medical University -WanFang Hospital, Taipei, Taiwan"
NCT04823117,The Effect of Music on Quality of Life in Fibromyalgia Patients,https://clinicaltrials.gov/study/NCT04823117,COMPLETED,NO,Fibromyalgia|Music Therapy|Quality of Life,OTHER: music therapy,Diskapi Teaching and Research Hospital,,FEMALE,"ADULT, OLDER_ADULT",101,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2017-12-01,"Çağla Özdemir, Merkez, Kütahya, 43020, Turkey"
NCT04280744,Feasibility of a Music Therapy Intervention to Decrease Stress During Pediatric Critical Care,https://clinicaltrials.gov/study/NCT04280744,COMPLETED,NO,"Critical Illness|Hypoxia, Brain",OTHER: Music therapy,University of Pittsburgh,University of Pittsburgh Medical Center,ALL,CHILD,38,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2022-02-01,"UPMC Children's Hospital of Pittsburgh, Pittsburgh, Pennsylvania, 15224, United States"
NCT05236179,Survey of Inpatients on Integrative Therapy Methods,https://clinicaltrials.gov/study/NCT05236179,COMPLETED,NO,Patient Satisfaction and Experience With Integrative Therapies,OTHER: Integrative therapies,ARCIM Institute Academic Research in Complementary and Integrative Medicine,,ALL,"ADULT, OLDER_ADULT",127,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2022-12-29,"Arcim Institute, Filderstadt, Baden-Württemberg, 70794, Germany"
NCT06733883,Music Therapy for Adolescents with Emotional Difficulties,https://clinicaltrials.gov/study/NCT06733883,RECRUITING,NO,Depressive Disorder|Emotional Dysregulation,OTHER: psychotherapy,Oslo University Hospital,Norwegian Academy of Music,ALL,"CHILD, ADULT",20,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2028-06,"Oslo university hospital, Oslo, Nydalen, 0424, Norway"
NCT03948984,Assessing the Impact of LIve Music in the Intensive Care Unit (ICU) to Improve Care for Critically Ill Patients,https://clinicaltrials.gov/study/NCT03948984,ENROLLING_BY_INVITATION,NO,Anxiety|Pain|Critical Illness|Relaxation,BEHAVIORAL: Therapeutic Music Session,Vanderbilt University Medical Center,,ALL,"ADULT, OLDER_ADULT",300,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2025-12,"Vanderbilt University Medical Center, Nashville, Tennessee, 37212, United States"
NCT06016621,Autism - Children's Improvisational Music Therapy Evaluation,https://clinicaltrials.gov/study/NCT06016621,RECRUITING,NO,Autism,BEHAVIORAL: Improvisational Music Therapy,Prof Simon Baron-Cohen,Anglia Ruskin University|Musical Universe|Rosetrees Trust|Stoneygate Trust|Autism Centre of Excellence,ALL,CHILD,240,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2025-12,"Anglia Ruskin University, Cambridge, CB1 1PT, United Kingdom|Autism Research Centre, Cambridge, CB2 8AH, United Kingdom"
NCT01487031,Music Therapy on Nausea and Pain for Autologous Stem Cell,https://clinicaltrials.gov/study/NCT01487031,COMPLETED,NO,Multiple Myeloma|Non-Hodgkin Lymphoma|Hodgkin Lymphoma,OTHER: Music Therapy|OTHER: No music therapy,Case Comprehensive Cancer Center,,ALL,"ADULT, OLDER_ADULT",108,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: SUPPORTIVE_CARE,2013-04,"Cleveland Clinic Taussig Cancer Institute, Case Comprehensive Cancer Center, Cleveland, Ohio, 44195, United States"
NCT02227680,Massage Therapy Versus Music Therapy Pilot Study,https://clinicaltrials.gov/study/NCT02227680,COMPLETED,NO,ALL,OTHER: Music Therapy|OTHER: Massage Therapy,Boston Medical Center,"Muscular Therapy Institute Foundation, Inc.|Berklee College of Music",ALL,"ADULT, OLDER_ADULT",90,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2015-01,"Boston Medical Center, Boston, Massachusetts, 02118, United States"
NCT02919722,The Effects of Playing Live Music in Music Therapy/Occupational Therapy Co-treatment on Unilateral Spatial Neglect,https://clinicaltrials.gov/study/NCT02919722,COMPLETED,NO,Unilateral Spatial Neglect (USN),BEHAVIORAL: Music Therapy,NYU Langone Health,,ALL,"ADULT, OLDER_ADULT",20,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-12-19,"New York University School of Medicine, New York, New York, 10016, United States"
NCT06778720,Implementing Music Therapy for Video-Assisted Thoracoscopic Surgery Patients: A Quality Improvement Initiative,https://clinicaltrials.gov/study/NCT06778720,NOT_YET_RECRUITING,NO,Pain Assessment|VATS|Music Therapy,BEHAVIORAL: Music Therapy with over-the ear headphones,Cedars-Sinai Medical Center,,ALL,"ADULT, OLDER_ADULT",20,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,2025-03-10,"Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States"
NCT03011723,Tailored Music Therapy for Dementia,https://clinicaltrials.gov/study/NCT03011723,COMPLETED,NO,"Alzheimer Dementia|Dementia, Vascular|Dementia, Lewy Body|Dementia Parkinson's Disease",BEHAVIORAL: Resource oriented music therapy,University of Bergen,NKS Olaviken Alderspsykiatriske sykehus,ALL,"ADULT, OLDER_ADULT",11,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2019-12,"NKS Olaviken Alderspsykiatriske sykehus, Bergen, 5009, Norway"
NCT05180617,Feasibility of Music Therapy in Community Substance Misuse Treatment Services,https://clinicaltrials.gov/study/NCT05180617,COMPLETED,NO,Substance Use Disorders,BEHAVIORAL: Music Therapy,Anglia Ruskin University,Westminster Drug Project,ALL,"ADULT, OLDER_ADULT",15,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2023-06-28,"Westminster Drug project, London, SW1H 9BL, United Kingdom"
NCT03763058,Music Intervention on Migraine Headaches,https://clinicaltrials.gov/study/NCT03763058,COMPLETED,YES,Migraine Headache,OTHER: Music Therapy,Association de Musicothérapie Applications et Recherches Cliniques,Centre Hospitalier Universitaire de la Réunion,ALL,"ADULT, OLDER_ADULT",20,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-03-15,"CHU de la Réunion, Saint-Pierre, 97448, Réunion"
