NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,Locations
NCT02849587,The Impact and Detection of Driving Impairments Associated With Acute Cannabis Smoking,https://clinicaltrials.gov/study/NCT02849587,COMPLETED,YES,Cannabis Intoxication,DRUG: Cannabis,"University of California, San Diego",,ALL,ADULT,199,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: SCREENING",2017-02-24,2019-06-17,"Center for Medicinal Cannabis Research, UC San Diego, San Diego, California, 92103, United States"
NCT04997395,Feasibility of Cannabidiol for the Treatment of Long COVID,https://clinicaltrials.gov/study/NCT04997395,COMPLETED,NO,Long COVID,DRUG: MediCabilis Cannabis sativa 50,Bod Australia,"Drug Science, UK",ALL,"ADULT, OLDER_ADULT",12,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-04-14,2023-01-06,"Drug Science, York, United Kingdom"
NCT00743145,Effects of Low-dose Naltrexone in Combination With a Range of Smoked Marijuana,https://clinicaltrials.gov/study/NCT00743145,COMPLETED,YES,Marijuana Smoking,DRUG: Inactive Marijuana (0% THC)|DRUG: Active Marijuana (5.5% THC)|DRUG: Active Marijuana (6.2% THC)|DRUG: Naltrexone|DRUG: Placebo naltrexone,New York State Psychiatric Institute,"Research Foundation for Mental Hygiene, Inc.|National Institute on Drug Abuse (NIDA)",ALL,ADULT,23,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: BASIC_SCIENCE",2008-05,2009-09,"New York State Psychiatric Institute, New York, New York, 10032, United States"
NCT04113096,Dibenzyl Trisulphide (GUINEAHEN WEED) for Stage IV Cancer,https://clinicaltrials.gov/study/NCT04113096,UNKNOWN,NO,Stage IV Prostate Cancer|Stage IV Colon Cancer|Stage IV Breast Cancer|Stage IV Cancer of the Cervix,DRUG: Dibenzyl trisulphide capsules|DRUG: Dibenzyl trisulphide capsules|DRUG: Dibenzyl trisulphide capsules|DRUG: Dibenzyl trisulphide capsules|DRUG: Stage IV Breast Cancer Placebo|DRUG: Stage IV: Colon Cancer Placebo|DRUG: Cervical Cancer Stage IV Placebo|DRUG: Cancer of the Prostate Placebo,The University of The West Indies,,ALL,"CHILD, ADULT, OLDER_ADULT",104,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2018-10-01,2020-09-30,"Faculty of Medial Sciences, Kingston, Jamaica"
NCT03099005,Effect of Cannabis and Endocannabinoids on HIV Neuropathic Pain,https://clinicaltrials.gov/study/NCT03099005,COMPLETED,YES,Cannabis|HIV Neuropathy|Pain Syndrome,DRUG: Cannabis,"University of California, San Diego",,ALL,"ADULT, OLDER_ADULT",5,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2018-07-01,2022-12-31,"UC Center for Medicinal Cannabis Research, UC San Diego, San Diego, California, 92103, United States"
NCT01798186,Pharmacokinetic and Pharmacodynamic Effects of Passive Cannabis Inhalation,https://clinicaltrials.gov/study/NCT01798186,COMPLETED,YES,Cannabis Toxicology,DRUG: Cannabis,Johns Hopkins University,Substance Abuse and Mental Health Services Administration (SAMHSA)|RTI International,ALL,ADULT,26,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: DIAGNOSTIC,2013-05,2013-08,"Johns Hopkins Behavioral Pharmacology Research Unit, Baltimore, Maryland, 21224, United States"
NCT00683488,Integrated Treatment of Marijuana Abuse for HIV+ Youth,https://clinicaltrials.gov/study/NCT00683488,COMPLETED,NO,HIV Infections,BEHAVIORAL: Focus Group|BEHAVIORAL: First Intervention Trial|BEHAVIORAL: Intervention Trial 2,"University of North Carolina, Chapel Hill",National Institute on Drug Abuse (NIDA)|National Institute of Mental Health (NIMH),ALL,"CHILD, ADULT",46,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2008-04,2011-04,"Childrens Hospital of Los Angeles, Los Angeles, California, 90027, United States|Mount Sinai Medical Center, New York, New York, 10128, United States|Childrens Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States"
NCT04316598,Cannabis Effects on Electroencephalography,https://clinicaltrials.gov/study/NCT04316598,TERMINATED,NO,Healthy Volunteers,DRUG: Cannabis Sativa|DRUG: Cannabis placebo,Parc de Salut Mar,,ALL,ADULT,16,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: OTHER",2020-03-03,2020-07-09,"IMIM (Hospital del Mar Medical Research Institute), Barcelona, 08003, Spain"
NCT01322464,Study to Assess Food Effect on Sativex Bioavailability,https://clinicaltrials.gov/study/NCT01322464,COMPLETED,NO,Food Effect,DRUG: Sativex|DRUG: Sativex|DRUG: Sativex|DRUG: Sativex,Jazz Pharmaceuticals,,MALE,ADULT,25,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2008-01,2008-02,"Guy's Drug Research Unit, Quintiles Ltd., London, SE1 1YR, United Kingdom"
NCT03191084,Examine the Feasibility of a Standardized Field Test for Marijuana Impairment: Laboratory Evaluations,https://clinicaltrials.gov/study/NCT03191084,COMPLETED,NO,Marijuana Impairment,DRUG: Low Dose THC Marijuana|DRUG: High Dose THC Marijuana|DRUG: Placebo Marijuana,Yale University,National Highway Traffic Safety Administration (NHTSA)|Hartford Hospital|Montana State University|Maastricht University|The Mind Research Network|National Institute on Drug Abuse (NIDA),ALL,ADULT,26,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2017-12-01,2020-03-30,"Olin Neuropsychiatry Research Center, Hartford, Connecticut, 06106, United States"
NCT01037088,Effects of Vaporized Marijuana on Neuropathic Pain,https://clinicaltrials.gov/study/NCT01037088,COMPLETED,YES,Neuropathic Pain|Reflex Sympathetic Dystrophy|Peripheral Neuropathy|Post-herpetic Neuralgia|Spinal Cord Injury|Multiple Sclerosis,DRUG: Mild dose cannabis|DRUG: Low dose cannabis|DRUG: Cannabis,"University of California, Davis",Center for Medicinal Cannabis Research|VA Northern California Health Care System,ALL,"ADULT, OLDER_ADULT",44,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2009-12,2012-11,"CTSC Clinical Research Center, Sacramento VA Medical Center, Sacramento, California, 95817, United States"
NCT01983267,Evaluation Prospectively the Level of Reduction in Cognitive Functions of Cancer Patients Who Are on Active Oncology Treatments and Use Cannabis. The Second Goal is to Identify High-risk Groups for Cognitive Impairment Due to Cannabis Use.,https://clinicaltrials.gov/study/NCT01983267,COMPLETED,NO,1- Cancer Patients During Chemotherapy Treatment|2- Use of Cannabis Comparing to Control Without Cannabis Use,DRUG: cannabis,Rambam Health Care Campus,,ALL,"ADULT, OLDER_ADULT",100,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2013-11,2017-04-26,"Oncology Institute, Rambam Health Care Campus, Haifa, 31096, Israel"
NCT03122691,Differences in Cannabis Impairment and Its Measurement Due to Route of Administration,https://clinicaltrials.gov/study/NCT03122691,COMPLETED,YES,Behavioral Pharmacology of Cannabis,DRUG: cannabis,Johns Hopkins University,RTI International|U.S. Department of Justice|National Institute on Drug Abuse (NIDA),ALL,ADULT,23,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: BASIC_SCIENCE",2018-05-01,2020-02-01,"Johns Hopkins University School of Medicine, Baltimore, Maryland, 21231, United States"
NCT03676166,Pharmacokinetic and Pharmacodynamic Effects of Smoked and Vaporized Cannabis,https://clinicaltrials.gov/study/NCT03676166,COMPLETED,NO,Cannabis,DRUG: Cannabis,Johns Hopkins University,,ALL,ADULT,18,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: BASIC_SCIENCE",2016-06-16,2017-01-17,"Johns Hopkins School of Medicine Behavioral Pharmacology Research Unit, Baltimore, Maryland, 21224, United States"
NCT04800159,Cannabis Effects on Antiretroviral Therapy Pharmacokinetics and Neurotoxicity,https://clinicaltrials.gov/study/NCT04800159,RECRUITING,NO,HIV|Cannabis Use,DRUG: THC Cannabis|DRUG: CBD Cannabis|DRUG: Placebo,"University of California, San Diego",Center for Medicinal Cannabis Research,ALL,"ADULT, OLDER_ADULT",40,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: BASIC_SCIENCE",2021-02-19,2025-04-30,"Ucsd Hnrp-Cmcr, San Diego, California, 92103, United States"
NCT04230460,Cannabis Impairment Detection Application (CIDA),https://clinicaltrials.gov/study/NCT04230460,COMPLETED,NO,Driving Under the Influence|Marijuana Intoxication|Alcohol Intoxication,DRUG: Cannabis (THC) (Inhaled) Placebo|DRUG: Cannabis (High% THC) (Inhaled)|DRUG: Cannabis (Very High% THC) (Inhaled)|DRUG: Alcohol (oral),"Advanced Brain Monitoring, Inc.",University of Iowa,ALL,ADULT,124,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: BASIC_SCIENCE",2020-09-01,2021-05-27,"University of Iowa. National Advanced Driving Simulator, Iowa City, Iowa, 52242, United States"
NCT02757313,Neuroscience of Marijuana Impaired Driving,https://clinicaltrials.gov/study/NCT02757313,COMPLETED,NO,Marijuana Impairment,DRUG: Low dose THC marijuana|DRUG: High dose THC marijuana|DRUG: Placebo marijuana,Yale University,Hartford Hospital|National Institute on Drug Abuse (NIDA)|Montana State University|Maastricht University|The Mind Research Network,ALL,ADULT,62,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2016-10,2021-05,"Olin Neuropsychiatry Research Center, Hartford, Connecticut, 06106, United States"
NCT01776970,Safety and Efficacy on Spasticity Symptoms of a Cannabis Sativa Extract in Motor Neuron Disease,https://clinicaltrials.gov/study/NCT01776970,COMPLETED,NO,Motor Neuron Disease|Amyotrophic Lateral Sclerosis (ALS),DRUG: Cannabis Sativa extract Oromucosal spray,Ospedale San Raffaele,Fondazione Salvatore Maugeri|Niguarda Hospital|University of Padova,ALL,"ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE",2013-01,2015-12,"San Raffaele Scientific Institute, Milan, 20132, Italy|Fondazione Salvatore Maugeri IRCCS, Istituto Scientifico, Milan, Italy|NEuroMuscular Omnicentre (NEMO), Fondazione Serena - H Cà granda, Milan, Italy|Universita' Degli Studi Di Padova, Azienda Ospedaliera Di Padova, Neurologic Department;, Padova, Italy"
NCT04945031,The Study of Pharmacological Treatment Pattern for Cannabis-induced Psychosis,https://clinicaltrials.gov/study/NCT04945031,COMPLETED,NO,Cannabis,OTHER: cannabis,Mahidol University,,ALL,"CHILD, ADULT, OLDER_ADULT",317,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2019-11-08,2020-12-31,"Onrumpha Chuenchom, Thanyaburi, Pathum Thani, 12110, Thailand"
NCT01592409,Cannabis Effects on Driving-related Skills of Young Drivers,https://clinicaltrials.gov/study/NCT01592409,COMPLETED,YES,Psychomotor Impairment,DRUG: delta-9-tetrahydrocannabinol|DRUG: Placebo,Centre for Addiction and Mental Health,Canadian Institutes of Health Research (CIHR)|Health Canada,ALL,ADULT,99,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: BASIC_SCIENCE",2012-07,2016-09,"Centre for Addiction and Mental Health, Toronto, Ontario, M5S 2S1, Canada"
NCT05522205,Regulated Cannabis Access in Basel,https://clinicaltrials.gov/study/NCT05522205,ACTIVE_NOT_RECRUITING,NO,Cannabis Use Disorder|Mental Health Disorder|Physical Illness,OTHER: Regulated cannabis access in pharmacies,Health Department of the Canton of Basel-Stadt,University of Basel|University Psychiatric Clinics Basel|Psychiatric Services Aargau AG,ALL,"ADULT, OLDER_ADULT",374,OTHER_GOV,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2023-01-31,2025-07-31,"Canton Basel-Stadt, Basel, Basel-Stadt, Switzerland"
NCT04576507,Repeated Cannabis Administration on Experimental Pain and Abuse Liability,https://clinicaltrials.gov/study/NCT04576507,SUSPENDED,NO,Cannabis|Pain|Tolerance|Hyperalgesia,DRUG: Cannabis,New York State Psychiatric Institute,"Alkermes, Inc.",ALL,ADULT,16,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2021-06-01,2025-12-31,"New York State Psychiatric Institute, New York, New York, 10032, United States"
NCT04596644,Impact of Repeatedly-Administered THC-cannabis on Experimental Pain and Abuse Liability in Humans,https://clinicaltrials.gov/study/NCT04596644,SUSPENDED,NO,Cannabis|Pain|Tolerance|Hyperalgesia,DRUG: Cannabis,New York State Psychiatric Institute,National Institute on Drug Abuse (NIDA),ALL,ADULT,16,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2021-08-01,2025-08-31,"New York State Psychiatric Institute, New York, New York, 10032, United States"
NCT06120855,Study on Regulated Cannabis Sales in Pharmacies,https://clinicaltrials.gov/study/NCT06120855,RECRUITING,NO,Marijuana Smoking|Cannabis|Cannabis Use,DRUG: Regulated cannabis from authorized pharmacies|DRUG: Cannabis from the illicit market,University of Bern,Universität Luzern,ALL,"ADULT, OLDER_ADULT",1091,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2023-11-22,2026-09,"University of Bern, Bern, 3012, Switzerland|Zentrum für Hausarztmedizin und Community Care, University of Lucerne, Lucerne, Switzerland"
NCT05563948,Repeated Administration of Cannabis Varying in THC and CBD,https://clinicaltrials.gov/study/NCT05563948,SUSPENDED,NO,Cannabis,DRUG: Cannabis,New York State Psychiatric Institute,,ALL,"ADULT, OLDER_ADULT",100,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: OTHER,2025-05-01,2034-05-31,"New York State Psychiatric Institute, New York, New York, 10032, United States"
NCT05849636,Alerta Cannabis: Evaluation of Web-based Tailored Intervention,https://clinicaltrials.gov/study/NCT05849636,RECRUITING,NO,Cannabis Use|Adolescent Behavior|E-health,BEHAVIORAL: ALERTA CANNABIS,University of Seville,"Ministerio de Ciencia, Innovación y Universidades|Maastricht University",ALL,"CHILD, ADULT",1850,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2022-10-01,2024-01-31,"University of Sevilla, Sevilla, 41009, Spain"
NCT04982965,Brain Mechanisms Supporting Cannabis-induced Pain Relief,https://clinicaltrials.gov/study/NCT04982965,RECRUITING,NO,"Pain, Acute",DRUG: Active Cannabis|DRUG: Placebo Cannabis,"University of California, San Diego",,ALL,"ADULT, OLDER_ADULT",100,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: BASIC_SCIENCE",2021-05-07,2027-03-15,"Altman Clinical and Translational Research Institute, La Jolla, California, 92093, United States|University of California, San Diego, San Diego, California, 92093, United States"
NCT04100590,Eye Tracking as a Biomarker of Cannabis Effects,https://clinicaltrials.gov/study/NCT04100590,TERMINATED,YES,"Cannabis Use|Pain, Acute",DRUG: Cannabis,New York State Psychiatric Institute,,ALL,ADULT,1,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: BASIC_SCIENCE",2019-10-01,2020-01-31,"New York State Psychiatric Institute, New York, New York, 10032, United States"
NCT00373399,Effects of Smoked Marijuana on Risk Taking and Decision Making Tasks,https://clinicaltrials.gov/study/NCT00373399,COMPLETED,YES,Marijuana Use Disorder,DRUG: Inactive Marijuana (0% THC)|DRUG: Low THC marijuana (1.8 %THC)|DRUG: High THC marijuana (3.9% THC),New York State Psychiatric Institute,National Institute on Drug Abuse (NIDA),ALL,ADULT,36,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: BASIC_SCIENCE",2006-05,2008-03,"New York State Psychiatric Institute, New York, New York, 10032, United States"
NCT06059677,Cannabis Consumption and Driving Impairment Assessment on a Closed Course,https://clinicaltrials.gov/study/NCT06059677,RECRUITING,NO,Cannabis Smoking|Driving Impaired,DRUG: Active smoked cannabis|DRUG: Placebo smoked cannabis,"Bayliss J. Camp, PhD",,ALL,ADULT,300,OTHER_GOV,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2023-10-03,2024-12-31,"California Department of Motor Vehicles Headquarters, Sacramento, California, 95818-2606, United States"
NCT05084105,Cannabis and Aging,https://clinicaltrials.gov/study/NCT05084105,COMPLETED,NO,Cannabis Use,,Thorsten Rudroff,,ALL,"ADULT, OLDER_ADULT",60,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2020-02-01,2021-11-01,"Department of Health and Human Physiology, Iowa City, Iowa, 52242, United States"
NCT06743373,"Cannabis Effects on Sleep, Circadian Rhythms, and Light Sensitivity in Young Adults",https://clinicaltrials.gov/study/NCT06743373,NOT_YET_RECRUITING,NO,Cannabis Use|Sleep|Circadian Rhythm,BEHAVIORAL: Cannabis Discontinuation,University of Pittsburgh,National Institute on Drug Abuse (NIDA),ALL,ADULT,180,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2025-01,2029-04-30,"Western Psychiatric Hospital (Thomas Detre Hall), Pittsburgh, Pennsylvania, 15213, United States"
